uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,synonym.3,answer.1,reference-term-source,reference-term-code,reference-term-relationship
,Acetazolamide,,Drug,N/A,,,,,,,,
,Acyclovir,,Drug,N/A,,,,,,,,
,Amoxicillin,,Drug,N/A,,,,,,,,
,Amoxicillin + Clavulanic Acid,,Drug,N/A,,,,,,,,
,Atropine Sulphate,,Drug,N/A,,,,,,,,
,Ceftriaxone,,Drug,N/A,,,,,,,,
,Chloramphenicol + Dexamethasone,,Drug,N/A,,,,,,,,
,Chloramphenicol,,Drug,N/A,,,,,,,,
,Ciprofloxacin,,Drug,N/A,,,,,,,,
,Cimetidine,,Drug,N/A,,,,,,,,
,Dexamethasone,,Drug,N/A,,,,,,,,
,Dexamethasone,,Drug,N/A,,,,,,,,
,Dexamethasone,,Drug,N/A,,,,,,,,
,Diclofenac Sodium,,Drug,N/A,,,,,,,,
,Diclofenac Sodium,,Drug,N/A,,,,,,,,
,Doxycycline,,Drug,N/A,,,,,,,,
,Flurbiprofen,,Drug,N/A,,,,,,,,
,Gentamicin,,Drug,N/A,,,,,,,,
,Gentamicin,,Drug,N/A,,,,,,,,
,Lidocaine HCL,,Drug,N/A,,,,,,,,
,Lidocaine HCL + Adrenaline,,Drug,N/A,,,,,,,,
,Metoclopramide,,Drug,N/A,,,,,,,,
,Metronidazole,,Drug,N/A,,,,,,,,
,Metronidazole,,Drug,N/A,,,,,,,,
,Omeperazole,,Drug,N/A,,,,,,,,
,Oxytetracycline HCl + Hydrocortisone Acetate + Polymixin B Sulphate,,Drug,N/A,,,,,,,,
,Paracetamol,,Drug,N/A,,,,,,,,
,Pilocarpine HCL,,Drug,N/A,,,,,,,,
,Pilocarpine HCL,,Drug,N/A,,,,,,,,
,Prednisolone,,Drug,N/A,,,,,,,,
,Sodium Cromoglycate,,Drug,N/A,,,,,,,,
,Timolol Maleate,,Drug,N/A,,,,,,,,
,Tramadol HCl,,Drug,N/A,,,,,,,,
,Triamcinolone Acetonide,,Drug,N/A,,,,,,,,
,Tropicamide,,Drug,N/A,,,,,,,,
,Vitamin A (Retinol),,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Mersilk  Braided Black,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Ceftriaxone,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Polyamide Monofilament,,Drug,N/A,,,,,,,,
,Dextrose,,Drug,N/A,,,,,,,,
,Sodium Chloride (Normal Saline),,Drug,N/A,,,,,,,,
,Ringer’s Lactate Solution,,Drug,N/A,,,,,,,,
,Glove Surgical  Latex Sterile,,Drug,N/A,,,,,,,,
,Haloperidol,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set (IV Cannula) ,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set (IV Cannula) ,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set (IV Cannula) ,,Drug,N/A,,,,,,,,
,Syringe (Disposable),,Drug,N/A,,,,,,,,
,Syringe (Disposable),,Drug,N/A,,,,,,,,
,Syringe (Disposable),,Drug,N/A,,,,,,,,
,Syringe Insulin (Disposable),,Drug,N/A,,,,,,,,
,Disposable Syringe,,Drug,N/A,,,,,,,,
,Urine Collecting Bag PVC Latex Product,,Drug,N/A,,,,,,,,
,Catheter Foley Silconized Latex Three Ways,,Drug,N/A,,,,,,,,
,Catheter Foley Silconized Latex Three Ways,,Drug,N/A,,,,,,,,
,Naso Gastric Tube Sterile,,Drug,N/A,,,,,,,,
,Thyroxine Sodium,,Drug,N/A,,,,,,,,
,Adhesive Plaster Zinc Oxide,,Drug,N/A,,,,,,,,
,Adhesive Plaster Zinc Oxide,,Drug,N/A,,,,,,,,
,Adhesive Plaster Zinc Oxide,,Drug,N/A,,,,,,,,
,Benzhexol (Trihexyphenidyl HCL),,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Phenytoin (Diphenhydantoin) Sodium,,Drug,N/A,,,,,,,,
,Lactulose,,Drug,N/A,,,,,,,,
,Allopurinol,,Drug,N/A,,,,,,,,
,Amoxicillin,,Drug,N/A,,,,,,,,
,Ceftriaxone,,Drug,N/A,,,,,,,,
,Metronidazole,,Drug,N/A,,,,,,,,
,Dexachloropheniramine Malate + Betamethasone,,Drug,N/A,,,,,,,,
,Ampicillin Sodium,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Mersilk Braided Black,,Drug,N/A,,,,,,,,
,Ceftriaxone,,Drug,N/A,,,,,,,,
,Prednisolone,,Drug,N/A,,,,,,,,
,Paracetamol,,Drug,N/A,,,,,,,,
,Fluconazole,,Drug,N/A,,,,,,,,
,Sodium Bicarbonate,,Drug,N/A,,,,,,,,
,Carbamazepine,,Drug,N/A,,,,,,,,
,Oral Rehydration Salt,,Drug,N/A,,,,,,,,
,Mebendazole,,Drug,N/A,,,,,,,,
,Tetracycline,,Drug,N/A,,,,,,,,
,Vitamin C (Ascorbic Acid),,Drug,N/A,,,,,,,,
,Plaster Of Paris (P.O.P) ,,Drug,N/A,,,,,,,,
,Amoxicillin + Clavulanic Acid,,Drug,N/A,,,,,,,,
,Cisatracurium,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Mebendazole,,Drug,N/A,,,,,,,,
,Captopril,,Drug,N/A,,,,,,,,
,Tenofovir Disproxil Fumerate,,Drug,N/A,,,,,,,,
,Tamsulosin,,Drug,N/A,,,,,,,,
,Zinc Acetate ,,Drug,N/A,,,,,,,,
,Chemical - Barium Sulphate,,Drug,N/A,,,,,,,,
,Ringer's Solution,,Drug,N/A,,,,,,,,
,Dextrose in Normal Saline,,Drug,N/A,,,,,,,,
,Polyglycolic acid absorbable braided violet,,Drug,N/A,,,,,,,,
,Ephedrine Hydrochloride,,Drug,N/A,,,,,,,,
,Griseofulvin,,Drug,N/A,,,,,,,,
,Artemether + Lumefanthrine,,Drug,N/A,,,,,,,,
,Artemether + Lumefanthrine,,Drug,N/A,,,,,,,,
,Artemether + Lumefanthrine,,Drug,N/A,,,,,,,,
,Acyclovir,,Drug,N/A,,,,,,,,
,Tetracycline,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cat Gut Chromic,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set,,Drug,N/A,,,,,,,,
,Adrenaline (Epinephrine),,Drug,N/A,,,,,,,,
,Aminophyline,,Drug,N/A,,,,,,,,
,Cloxacillin Sodium,,Drug,N/A,,,,,,,,
,Diazepam,,Drug,N/A,,,,,,,,
,Acetylsalicylic Acid,,Drug,N/A,,,,,,,,
,Albendazole,,Drug,N/A,,,,,,,,
,Amoxicillin,,Drug,N/A,,,,,,,,
,Atropine Sulphate,,Drug,N/A,,,,,,,,
,Disposable Syringe,,Drug,N/A,,,,,,,,
,Beclometasone Dipropionate,,Drug,N/A,,,,,,,,
,Disposable Syringe,,Drug,N/A,,,,,,,,
,Bisacodyl,,Drug,N/A,,,,,,,,
,Calcium Gluconate,,Drug,N/A,,,,,,,,
,Frusemide,,Drug,N/A,,,,,,,,
,Hydralazine,,Drug,N/A,,,,,,,,
,Cannula Intravenous Set,,Drug,N/A,,,,,,,,
,Hydrocortisone Sodium Succinate,,Drug,N/A,,,,,,,,
,Castor Oil,,Drug,N/A,,,,,,,,
,Ibuprofen,,Drug,N/A,,,,,,,,
,Insulin Syringe ,,Drug,N/A,,,,,,,,
,Magnesium Sulphate,,Drug,N/A,,,,,,,,
,Methyldopa,,Drug,N/A,,,,,,,,
,Catheter Foley Silconized Latex Two Ways,,Drug,N/A,,,,,,,,
,Metoclopramide,,Drug,N/A,,,,,,,,
,Catheter Foley Silconized Latex Three Ways,,Drug,N/A,,,,,,,,
