diseaseCategory,name
"Blood, Immune",Neutropaenia
"Blood, Immune",Polyarteritis nodosa
"Blood, Immune",Megaloblastic anaemia due to vitamin B12 deficiency
"Blood, Immune",Combined deficiency of vitamin Kdependent clotting factors
"Blood, Immune",Acquired lymphocytosis
"Blood, Immune",Sjögren syndrome
"Blood, Immune",Primary immunodeficiencies due to disorders of innate immunity
"Blood, Immune",Leg Ulcers (Adenosine deaminase [ADA] deficiency)
"Blood, Immune",Microangiopathic haemolytic anaemia
"Blood, Immune","Polycythaemia, unspecified"
"Blood, Immune",Congenital dyserythropoietic anaemia
"Blood, Immune",Allergic or hypersensitivity conditions of other specified type
"Blood, Immune",Acquired aplastic anaemias
"Blood, Immune",Nonthrombocytopenic purpura
"Blood, Immune",Lupus erythematosus
"Blood, Immune","Thrombocytopenia, unspecified"
"Blood, Immune",Druginduced cytopenia
"Blood, Immune",Sickle cell disorders or other haemoglobinopathies
"Blood, Immune",Von Willebrand disease
"Blood, Immune",Folate deficiency anaemia
"Blood, Immune",Anaemia due to acute disease
"Blood, Immune",Anaphylaxis
"Blood, Immune","Iron deficiency anaemia, unspecified"
"Blood, Immune",Other specified anaemias and erythrocyte disorders
"Blood, Immune",Acquired iron deficiency anaemia due to blood loss
"Blood, Immune",Thalassaemias
"Blood, Immune",Idiopathic inflammatory myopathy
"Blood, Immune",Systemic sclerosis
"Blood, Immune",Acquired iron deficiency anaemia due to low intake
"Blood, Immune","Acquired haemolytic anaemia, unspecified"
"Blood, Immune",Acquired polycythaemia
"Blood, Immune",Hereditary factor IX deficiency
"Blood, Immune",Iron deficiency anaemia
"Blood, Immune","Graftversushost disease, unspecified"
"Blood, Immune",Acquired lymphopenia
"Blood, Immune",Other inherited coagulation factor deficiency with bleeding tendency
"Blood, Immune",Druginduced vitamin B12 deficiency anaemia
"Blood, Immune",Acquired immunodeficiencies
"Blood, Immune","Systemic sclerosis, unspecified"
"Blood, Immune",Disorders of neutrophil number
"Blood, Immune",Congenital disorders of spleen
"Blood, Immune","Coagulation defects, purpura or other haemorrhagic or related conditions, unspecified"
"Blood, Immune",Other specified diseases of the blood or bloodforming organs
"Blood, Immune",Alloimmune haemolytic anaemia
"Blood, Immune",Other specified primary immunodeficiencies
"Blood, Immune",Acquired thrombocytopenia
"Blood, Immune",Systemic lupus erythematosus
"Blood, Immune","Acquired haemolytic anaemia, nonimmune"
"Blood, Immune",Other specified diseases of the immune system
"Blood, Immune","Aplastic anaemia, unspecified"
"Blood, Immune",Acquired disorders of spleen
"Blood, Immune",Vasculitis
"Blood, Immune",Thrombocytosis
"Blood, Immune",Antiphospholipid syndrome
"Blood, Immune",Sarcoidosis
"Blood, Immune",Congenital aplastic anaemia
"Blood, Immune",Complex allergic or hypersensitivity conditions
"Blood, Immune",Anaemia due to chronic disease
"Blood, Immune",Paroxysmal nocturnal haemoglobinuria
"Blood, Immune","Immunodeficiency (Immunodeficiency, unspecified)"
"Blood, Immune",Congenital thrombocytopenia
"Blood, Immune",Immune reconstitution inflammatory syndrome
"Blood, Immune",Blood And Blood-Forming Organs (Other)
"Blood, Immune",Allergic contact dermatitis due to food allergen
"Blood, Immune",Eosinophilia
"Blood, Immune",Haemophagocytic syndrome associated with infection
"Blood, Immune",Giant cell arteritis
"Blood, Immune",Haemolytic uraemic syndrome
